"code","sido","sido_short","area_km","population","exercise","library","nursery","kindergarden","senior_care","health_center","park"
11,"서울특별시","서울",605,9586195,234,758,5045,"787","26",1,1889
21,"부산광역시","부산",770,3349016,521,191,1670,"397","7",11,688
22,"대구광역시","대구",883,2410700,354,175,1184,"342","6",3,595
23,"인천광역시","인천",1066,2945454,132,233,1799,"399","21",14,687
24,"광주광역시","광주",501,1477573,86,109,1004,"294","3",10,851
25,"대전광역시","대전",539,1488435,216,119,1105,"253","8",1,498
26,"울산광역시","울산",1062,1135423,111,88,719,"196","2",1,815
29,"세종특별자치시","세종",464,353933,32,27,343,"62","4",2,70
31,"경기도","경기",10196,13511676,2105,1203,10130,"2209","117",25,4173
32,"강원도","강원",16829,1521763,521,270,954,"363","26",16,620
33,"충청북도","충북",7406,1632088,1192,217,1038,"327","26",5,803
34,"충청남도","충남",8246,2176636,327,295,1621,"498","17",11,1311
35,"전라북도","전북",8072,1802766,402,285,1112,"507","18",13,1099
36,"전라남도","전남",12358,1788807,733,327,1050,"524","23",20,1583
37,"경상북도","경북",19034,2644757,3718,322,1620,"695","30",6,998
38,"경상남도","경남",10541,3333056,1264,331,2359,"683","16",13,1102
39,"제주특별자치도","제주",1850,670858,88,106,475,"123","2",4,245
